시도명,설비용량(MW),발전일자,기온,강우량(mm),습도,적설량(mm),풍속,적운량(10분위),적운량(3분위),일조(hr),대기권밖일사량계산값,일사량,발전량(MWh),윤년여부
강원,295.334,2020-01-01 00:00,-3.0,,24.0,,4.3,0.0,1.0,,0.0,,0.01,Y
강원,295.334,2020-01-01 01:00,-2.3,,37.0,,5.2,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 02:00,-1.6,,38.0,,3.9,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 03:00,-1.4,,45.0,,5.6,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 04:00,-0.9,,46.0,,5.1,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 05:00,-1.0,,48.0,,4.2,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 06:00,-0.7,,48.0,,3.7,0.0,1.0,,0.0,,0.0,Y
강원,295.334,2020-01-01 07:00,-0.4,,48.0,,4.2,0.0,1.0,,0.0,,0.15,Y
강원,295.334,2020-01-01 08:00,0.0,,47.0,,4.8,0.0,1.0,0.0,0.19,0.01,10.78,Y
강원,295.334,2020-01-01 09:00,1.5,,43.0,,3.8,0.0,1.0,1.0,1.03,0.36,40.76,Y
