연월,시도,월평균기온,월평균최고기온,월평균최저기온,가구수(개),공급량(㎥),총인구수
2021-01,강원,-4.2,1.5,-9.7,386599,51918.19419,1541696
2021-02,강원,1.3,7.3,-4.6,387774,43068.96262,1540875
2021-03,강원,7.0,13.3,1.3,388403,32782.803,1536399
2021-04,강원,11.8,17.9,5.7,390610,20762.35047,1536175
2021-05,강원,15.3,21.1,10.0,391098,14472.11024,1535491
2021-06,강원,20.6,25.9,16.3,391374,9705.271961,1535530
2021-07,강원,25.4,30.7,21.1,392318,6825.284001,1536140
2021-08,강원,23.3,27.8,20.1,393003,6163.332476,1536270
2021-09,강원,19.8,24.8,15.7,393895,6706.152759,1536765
2021-10,강원,13.2,19.1,8.5,396207,11676.59446,1537717
2021-11,강원,6.3,12.3,1.3,398554,23811.71541,1538273
2021-12,강원,-0.7,4.5,-5.6,403730,39836.34971,1538492
2022-01,강원,-3.8,2.3,-9.5,406296,50642.81171,1538660
2022-02,강원,-2.7,3.4,-8.3,407600,48179.32967,1539051
2022-03,강원,5.8,11.7,0.2,407585,37857.20152,1539036
2022-04,강원,13.0,19.6,6.3,407139,23853.50551,1539038
2022-05,강원,17.0,23.6,10.2,407616,13250.10704,1539005
2022-06,강원,21.2,25.9,16.9,408424,8973.399468,1539064
2022-07,강원,24.8,29.4,21.3,409829,6747.004784,1539178
2022-08,강원,23.9,27.9,20.7,410435,5867.389386,1538801
2022-09,강원,19.2,25.2,14.4,411952,6647.292059,1537396
2022-10,강원,11.9,18.1,7.2,413353,12788.77655,1537339
2022-11,강원,7.7,14.6,2.0,415222,21923.75661,1536863
2022-12,강원,-4.5,1.1,-9.4,418793,42406.83857,1536498
2023-01,강원,-3.5,2.3,-8.9,420873,52859.57364,1535373
2023-02,강원,0.3,6.2,-5.2,421277,44320.67478,1534067
2023-03,강원,7.8,15.1,0.8,421360,30381.8292,1533719
2023-04,강원,11.9,17.9,5.9,422127,19559.60999,1533356
2023-05,강원,17.1,23.4,10.8,422405,13099.56002,1533081
2023-06,강원,21.5,27.0,16.7,422520,8141.089653,1532617
2023-07,강원,25.1,29.8,21.6,422432,6311.938524,1532050
2023-08,강원,24.9,29.5,21.5,422838,5982.341767,1531390
2023-09,강원,20.9,25.7,17.2,423900,6158.406956,1530712
2023-10,강원,12.8,19.3,7.6,425797,10409.58745,1529500
2023-11,강원,5.7,11.1,0.7,427797,22462.53597,1528635
2023-12,강원,-0.6,4.2,-5.2,431073,41257.1779,1527807
2024-01,강원,-2.0,2.8,-6.4,433363,48946.56084,1526243
2024-02,강원,1.3,6.2,-2.9,434296,44258.01111,1524624
2024-03,강원,4.7,10.5,-0.9,433959,35942.23798,1524198
2024-04,강원,13.9,20.5,7.9,433607,21816.02777,1523661
2024-05,강원,16.7,23.3,10.4,433516,11580.5126,1522952
2024-06,강원,22.3,28.3,16.5,433531,8150.548979,1522542
2024-07,강원,25.4,29.2,22.4,434320,6796.292754,1521877
